,D_DATE,Ticker,Cena / Wartość księgowa,Cena / Wartość księgowa Grahama,Cena / Przychody ze sprzedaży,Cena / Zysk,Cena / Zysk operacyjny,EV / Przychody ze sprzedaży,EV / EBIT,EV / EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,I stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Pokrycie zobowiązań należnościami
143,2018-08-27,HRP,1.32,,2.19,,,2.45,10.3,8.24,1.3,0.51,3.26,2.14,-2.78,3.69,48.74,1.67,58.44,100.65,0.42,0.62,1.24,0.97,0.88,0.12,0.75,1.32,0.52
144,2018-12-28,HRP,1.47,,2.01,,,2.33,8.87,8.69,2.14,1.76,2.38,2.88,1.42,3.46,53.97,1.0,69.84,97.56,0.41,0.84,1.25,1.01,0.93,0.06,0.81,1.29,0.58
145,2019-02-25,HRP,1.27,,1.92,,,2.31,-2.06,5.57,-0.38,-0.28,-1.19,0.03,-0.08,2.52,49.26,-1.02,72.33,70.57,0.44,0.82,1.23,1.03,0.89,0.17,0.82,1.28,0.55
146,2019-08-30,HRP,1.44,,1.97,,12.25,2.61,-4.69,-5.74,-5.96,-4.46,-9.44,-8.26,-2.34,-8.27,40.83,-7.3,70.52,,0.48,0.92,1.13,0.86,0.79,0.2,0.88,1.14,0.39
147,2019-12-12,HRP,1.87,,1.86,,11.09,2.59,-2.52,-3.06,-12.66,-7.46,-23.04,-23.62,-3.13,-22.48,43.68,-8.12,71.62,,0.39,0.69,1.21,1.02,0.85,0.46,0.91,1.18,0.45
148,2020-02-28,HRP,1.86,,1.94,,12.7,2.62,-3.22,-4.05,-4.37,-5.52,-26.41,-17.59,-4.28,-17.59,47.8,-9.09,58.76,,0.38,0.61,1.41,1.08,0.85,0.19,0.67,1.24,0.42
149,2020-10-21,HRP,1.74,,2.57,13.45,14.63,3.13,-2.54,-2.83,3.49,-2.06,-9.76,-2.98,2.34,-10.76,46.4,-2.57,64.23,,0.44,0.9,1.18,1.0,0.86,0.15,0.79,1.24,0.44
150,2020-12-29,HRP,2.38,,5.56,20.46,16.62,5.65,-2.27,2.85,5.54,-2.81,-4.7,-1.52,-1.36,-6.68,45.26,-2.64,71.77,,0.44,0.72,1.34,1.02,0.8,0.12,0.71,1.21,0.5
151,2021-03-01,HRP,3.13,,4.76,28.05,23.88,4.4,-3.01,5.1,5.94,-2.69,-3.5,-4.82,0.5,-4.16,40.42,-2.0,79.15,58.49,0.4,0.65,1.49,0.94,0.81,0.27,0.7,1.31,0.49
152,2021-08-30,HRP,3.18,,4.15,17.32,13.34,4.11,7.89,6.0,4.64,1.67,4.25,2.23,3.98,2.41,40.28,2.97,103.22,,0.45,0.72,1.28,0.99,0.86,0.3,1.02,1.18,0.47
