,D_DATE,Ticker,Cena / Wartość księgowa,Cena / Wartość księgowa Grahama,Cena / Przychody ze sprzedaży,Cena / Zysk,Cena / Zysk operacyjny,EV / Przychody ze sprzedaży,EV / EBIT,EV / EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,I stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Pokrycie zobowiązań należnościami
134,2015-08-31,HRP,23.43,,-11.27,-0.8,-17.07,11.31,-28.05,-23.65,-128.42,-142.9,-73.93,-133.55,-69.48,-83.26,-7.03,-79.04,-14.94,43.38,-6.1,-18.93,81.13,32.82,-1.5,-37.62,-4.18,-18.91,-19.7
135,2015-11-13,HRP,13.97,,12.76,47.93,26.85,45.18,-23.52,-17.37,-96.01,-95.27,-69.66,-94.29,-39.38,-73.82,-6.96,-75.22,97.64,3.48,-12.62,-19.79,4.57,29.53,0.56,6.8,15.45,-2.0,12.7
136,2016-05-13,HRP,-12.1,,17.85,,-37.12,6.59,-111.27,-47.7,-657.89,-607.55,-155.08,-133.33,-70.77,-162.55,-29.92,-189.69,-36.65,-28.63,-1.82,-32.55,34.19,-17.55,-15.94,14.19,-0.5,1.04,-0.84
137,2016-08-31,HRP,-11.83,,-5.76,105.38,-8.13,-14.25,-112.82,-34.15,-157.14,-100.77,-112.28,41.45,-6.1,-1023.68,-29.47,-381.42,32.9,-9.2,9.92,6.12,12.14,-11.14,-6.72,-27.69,4.66,-10.06,1.02
138,2016-11-14,HRP,13.17,,-0.21,,-3.33,-8.9,-105.87,-108.78,-891.07,-840.0,-37.87,-180.56,-156.78,-350.0,2.1,-196.76,-9.23,-5.51,-3.92,-14.02,14.56,-20.45,-8.09,-23.2,-24.39,-16.3,-4.01
139,2017-05-29,HRP,-15.15,,21.92,,,21.4,-357.57,21.29,-2.83,-50.74,1.06,-801.59,-236.48,-109.3,32.61,-8.09,374.72,-5.75,-0.56,-15.89,-33.66,-9.3,9.12,-7.06,7.53,8.15,-13.62
140,2017-09-29,HRP,-23.24,,28.14,,,45.78,-437.62,-74.5,-8.64,-47.13,-2173.81,-860.11,-317.5,-6.77,19.81,-27.67,-11.74,-0.28,-4.93,-11.86,-33.57,-8.02,4.11,-9.47,-1.96,-1.48,-3.6
141,2017-11-27,HRP,-48.66,,-7.69,,,24.36,-774.53,251.11,-102.71,-175.68,-540.0,-5648.28,-75.23,-247.2,-4.39,-201.86,-33.62,-14.26,9.53,2.95,-4.95,1.1,-0.52,-34.7,1.38,6.89,-20.78
142,2018-02-26,HRP,-40.63,,10.69,,,-26.74,171.94,10.24,100.82,59.28,88.05,58.0,160.91,82.21,24.2,69.85,-60.26,-14.85,21.89,24.49,28.67,8.8,-7.56,-32.75,-16.09,-9.65,-9.15
143,2018-08-27,HRP,-20.57,,5.74,,,7.82,192.29,11.46,129.82,112.58,216.85,137.76,-27.88,202.64,28.6,165.75,-6.53,14.44,13.61,15.02,43.58,7.18,-1.7,-24.92,-9.05,-10.46,-9.28
144,2018-12-28,HRP,-17.74,,-10.09,,,-15.91,196.73,414.91,140.53,145.83,149.74,133.7,132.64,146.23,41.21,124.63,18.01,10.85,14.54,58.86,43.19,7.26,1.81,-56.14,-6.6,-7.21,-8.41
145,2019-02-25,HRP,-11.34,,8.32,,,-16.36,70.65,314.65,91.65,90.85,74.24,100.36,97.94,129.03,20.18,74.75,175.96,-6.43,13.29,45.77,22.41,5.26,1.47,105.34,-1.57,-8.82,-3.14
146,2019-08-30,HRP,8.63,,-10.0,,,6.34,-145.5,-169.61,-558.85,-975.49,-389.57,-485.08,15.68,-323.82,-16.23,-537.43,20.68,,13.97,47.87,-9.24,-11.65,-10.07,72.47,16.09,-14.15,-24.92
147,2019-12-12,HRP,27.55,,-7.16,,,11.39,-128.43,-135.18,-691.36,-523.58,-1070.11,-920.14,-320.42,-748.77,-19.07,-912.0,2.55,,-4.39,-18.28,-3.41,0.56,-8.02,606.97,12.44,-8.21,-22.69
148,2020-02-28,HRP,45.78,,1.24,,,13.46,-55.91,-172.82,-1065.33,-1873.21,-2119.33,-58733.33,-5250.0,-798.02,-2.96,-786.83,-18.76,,-15.07,-26.24,14.57,5.31,-4.42,10.77,-18.34,-3.56,-23.48
149,2020-10-21,HRP,21.25,,30.65,,19.44,19.79,45.75,50.69,158.51,53.86,-3.39,63.92,200.0,-30.05,13.63,64.82,-8.93,,-7.72,-2.89,4.38,16.83,8.72,-27.19,-10.1,9.65,12.73
150,2020-12-29,HRP,27.44,,198.43,,49.79,118.14,10.22,193.21,143.78,62.31,79.6,93.59,56.39,70.28,3.61,67.49,0.21,,11.75,4.08,11.07,0.42,-6.11,-72.67,-21.99,2.37,12.19
151,2021-03-01,HRP,68.45,,145.22,,88.09,68.02,6.42,225.79,235.93,51.31,86.73,72.6,111.68,76.35,-15.44,78.0,34.7,,5.43,7.2,5.81,-12.86,-4.82,42.89,4.87,6.16,15.95
152,2021-08-30,HRP,82.29,,61.27,28.8,-8.78,31.3,410.22,312.2,33.09,180.83,143.55,174.83,70.09,122.41,-13.18,215.56,60.71,,1.11,-19.79,8.95,-1.55,-0.12,108.4,30.0,-4.89,8.34
153,2021-12-30,HRP,108.93,,13.43,-27.77,-24.9,8.06,317.31,133.5,-42.42,106.76,148.3,139.6,220.88,108.53,-38.36,128.03,39.54,,-9.59,-33.97,-6.91,7.68,9.72,269.71,82.62,16.09,-10.69
154,2022-02-28,HRP,27.01,,7.08,-49.71,-54.88,10.56,-14.72,32.64,-40.74,43.87,33.52,-2.49,248.0,-13.46,-27.54,98.5,9.94,,-2.5,-17.6,-13.06,3.92,10.07,53.21,90.16,45.16,6.78
155,2022-08-29,HRP,-18.97,,10.38,,107.65,13.29,-12.0,45.84,-154.68,-254.35,-63.65,-231.61,-119.1,-235.27,18.32,-56.9,-16.36,,-11.83,-26.78,-15.57,-1.38,10.59,66.71,43.43,61.0,-7.3
156,2022-12-29,HRP,-65.22,,-54.02,,48.77,-50.89,35.69,13.41,-33.23,-2010.53,-126.21,-1198.33,-222.42,-1142.11,76.0,-64.86,-85.14,,-4.63,-1.16,-14.05,-8.1,9.35,-24.27,3.98,37.15,18.78
